valore,PRO_COM_T
26356037.54663086,063086
26328167.060058594,056001
26251146.46484375,042045
26212383.401000977,031012
26145992.833740234,101013
26120692.212646484,087049
26113942.928588867,071001
26000189.8984375,004211
25907354.173583984,090003
25844458.702392578,075052
25841324.846069336,064005
25814587.477905273,075039
25730041.001953125,075022
25569496.166015625,015168
25504479.75805664,063005
25314258.897338867,067037
25241183.25427246,026092
25173780.21887207,030121
25116798.728759766,018177
24934837.34777832,024012
24898739.18395996,046024
24887807.016601562,063001
24887120.47717285,077027
24828414.721435547,088003
24828017.724975586,046007
24800200.802246094,072014
24750664.634765625,109037
24683028.293701172,069046
24681091.11694336,074008
24660383.378173828,075088
24562402.32434082,075016
24493976.57080078,072036
24024715.44555664,023027
23997365.8248291,028037
23996459.974121094,075031
23995471.534301758,017067
23994762.690246582,001078
23934093.959106445,051026
23895361.294433594,078033
23853090.911621094,004130
23663751.322265625,001156
23603909.15979004,077021
23448896.12841797,087024
23399838.05859375,090069
23355026.10998535,054056
23332934.846923828,008059
23325958.259765625,066028
23271107.818603516,059008
23257500.833618164,089002
23256336.091918945,065135
23182701.365478516,024084
23158985.98803711,084041
23144946.272094727,054001
23103257.641967773,063043
23076763.287963867,008065
23053199.249145508,023096
23039642.549926758,068022
23013061.94946289,040008
22917608.365600586,084021
22784923.634765625,073012
22782056.556884766,066099
22712036.782226562,023092
22658120.197998047,072031
22589912.92565918,080043
22517171.908813477,023069
22442333.59387207,050029
22350761.989013672,063011
22270357.127441406,082021
22247891.70727539,036039
22189380.69165039,036030
22139133.983154297,042017
22055853.986083984,074010
22009167.744140625,058117
21990639.82421875,065133
21990549.91821289,001090
21875537.20373535,083005
21870536.047607422,065022
21810082.150634766,072001
21733185.181396484,039012
21710114.688232422,080088
21668480.2890625,091098
21659421.145385742,090006
21615839.864257812,094035
21525441.344726562,087017
21491265.260742188,063035
21458543.998168945,015173
21372459.752929688,089014
21309101.38232422,054052
21247924.83178711,021095
21216088.958496094,066014
21181794.889465332,066098
21148388.494995117,026046
21054857.536621094,044032
21000851.876831055,048043
20959997.665161133,072035
20955477.826538086,037019
20928701.43713379,058088
20743984.141845703,059005
20735093.38684082,073004
20696598.389160156,003024
20653547.690063477,048041
20623578.076171875,037037
20571256.467895508,012070
20496685.731445312,058003
20450734.931396484,001059
20370205.75744629,044066
20349504.010253906,021051
20331352.13232422,004083
20330426.802490234,007005
20329804.67578125,004232
20303249.0,022133
20226121.599243164,060033
20217889.493530273,018182
20136540.001464844,043013
20122624.663085938,028034
20120485.427215576,060006
20115255.838989258,063031
20056712.94454956,060074
20047336.001464844,004203
20023339.76147461,072027
19993999.6484375,063021
19945167.822143555,074007
19907836.074951172,037039
19856296.607788086,080057
19850579.725219727,067025
19843438.369506836,069083
19824468.217529297,060003
19794967.6947937,053009
19763329.27697754,077029
19701834.94543457,089011
19685131.399414062,065025
19665223.432128906,083066
19651554.708007812,063059
19627262.471435547,015074
19558469.11077881,019035
19542561.764160156,063056
19458338.06677246,027033
19378916.341796875,080067
19255634.856567383,067004
19227776.646484375,058043
19218084.860351562,004068
19199188.452392578,037053
19199175.247070312,071028
19186157.482421875,017139
19173495.53503418,026012
