Codice Univoco submisura;CUP ;codice fiscale PROGRAMMATORE;Denominazione PROGRAMMATORE;forma giuridica PROGRAMMATORE;descrizione forma giuritica PROGRAMMATORE;Codice ATECO PROGRAMMATORE ;codice fiscale  ATTUATORE;Denominazione ATTUATORE;forma giuridica ATTUATORE;descrizione forma giuritica ATTUATORE;Codice ATECO ATTUTORE;codice fiscale BENEFICIARIO;Denominazione BENEFICIARIO;forma giuridica_BENEFICIARIO;descrizione forma giuritica  BENEFICIARIO;Codice ATECO BENEFICIARIO 
M1C2I5.01.01;E41B21014270006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;10395830960;CASH E CARRY S.R.L.;11;Società  a responsabilità  limitata;46.39.10;10395830960;CASH E CARRY S.R.L.;11;Società  a responsabilità  limitata;46.39.10
M1C2I5.01.01;E71B21006090006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04155001219;KERMES S.R.L.;11;Società  a responsabilità  limitata;15.20.10;04155001219;KERMES S.R.L.;11;Società  a responsabilità  limitata;15.20.10
M1C2I5.01.01;E51B21007240006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01426240485;BUYING & DESIGN S.R.L.;11;Società  a responsabilità  limitata;46.47.10;01426240485;BUYING & DESIGN S.R.L.;11;Società  a responsabilità  limitata;46.47.10
M1C2I5.01.01;E51B21006010006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00812210706;SIRIO SOCIETA' A RESPONSABILITA' LIMITAT;11;Società  a responsabilità  limitata;10.51.10;00812210706;SIRIO SOCIETA' A RESPONSABILITA' LIMITAT;11;Società  a responsabilità  limitata;10.51.10
M1C2I5.01.01;E31B21013770006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03543310134;FORFIRM ITALIA SRL;11;Società  a responsabilità  limitata;62.09.09;03543310134;FORFIRM ITALIA SRL;11;Società  a responsabilità  limitata;62.09.09
M1C2I5.01.01;E41B21014280006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01044950192;MAGLIFICIO RIPA S.R.L.;11;Società  a responsabilità  limitata;13.91.00;01044950192;MAGLIFICIO RIPA S.R.L.;11;Società  a responsabilità  limitata;13.91.00
M1C2I5.01.01;E91B21007110006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01067590321;ATHONET S.R.L.;11;Società  a responsabilità  limitata;62.01.00;01067590321;ATHONET S.R.L.;11;Società  a responsabilità  limitata;62.01.00
M1C2I5.01.01;E21B21008400006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;05217660652;SOLONE  S.R.L.;11;Società  a responsabilità  limitata;58.11.00;05217660652;SOLONE  S.R.L.;11;Società  a responsabilità  limitata;58.11.00
M1C2I5.01.01;E11B21009270006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04694270267;BORSOI S.R.L.;11;Società  a responsabilità  limitata;28.94.10;04694270267;BORSOI S.R.L.;11;Società  a responsabilità  limitata;28.94.10
M1C2I5.01.01;E91B21011360006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00681300422;VIBROEDIL S.R.L.;11;Società  a responsabilità  limitata;46.73.10;00681300422;VIBROEDIL S.R.L.;11;Società  a responsabilità  limitata;46.73.10
M1C2I5.01.01;E91B21010100006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01039880446;CALZATURIFICIO GAL.MEN S.R.L.;11;Società  a responsabilità  limitata;15.20.10;01039880446;CALZATURIFICIO GAL.MEN S.R.L.;11;Società  a responsabilità  limitata;15.20.10
M1C2I5.01.01;E91B21007120006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00252070024;BARBERI RUBINETTERIE INDUSTRIALI - S.R.L;11;Società  a responsabilità  limitata;28.14.00;00252070024;BARBERI RUBINETTERIE INDUSTRIALI - S.R.L;11;Società  a responsabilità  limitata;28.14.00
M1C2I5.01.01;E91B21009450006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01895850509;MEDIA TECNO SRL;11;Società  a responsabilità  limitata;46.43.10;01895850509;MEDIA TECNO SRL;11;Società  a responsabilità  limitata;46.43.10
M1C2I5.01.01;E61B21007870006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;08012481217;PELLETTERIA ARTIGIANA SOCIETA' A RESPONS;11;Società  a responsabilità  limitata;15.12.09;08012481217;PELLETTERIA ARTIGIANA SOCIETA' A RESPONS;11;Società  a responsabilità  limitata;15.12.09
M1C2I5.01.01;E31B21013780006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;05041610824;VERDESICILIA SOCIETA' COOPERATIVA;14;SocietàCooperativa a mutualità  preval.;79.11.00;05041610824;VERDESICILIA SOCIETA' COOPERATIVA;14;SocietàCooperativa a mutualità  preval.;79.11.00
