CUP,CIG
B14H20001400001,9331879E27
B14H20001400001,8742149991
B14H20001410001,8750181DC7
B14H20001410001,9261907F6E
B14H20001410001,87351054AE
B14H20001410001,ZD3360F8FD
B14H20001420001,8735182439
B14H20001420001,ZB6332DC2C
B14H20001420001,874233858A
B14H20001420001,9397883264
B14H20001580001,Z4935709B7
B14H20001580001,Z3634BC204
B14H20001580001,ZF13769218
B14H20001580001,Z133517E26
B14H20001580001,Z4C38794FC
B14H20001580001,8883929222
B14H20001580001,8856817C97
B14H20001580001,ZC537CBB93
B14H20001580001,Z1834C9D66
B14H20001580001,Z06357451D
B14H20001580001,884745707D
B14H20001580001,880982840D
B14H20001580001,8847471C07
B14H20001580001,89448492E8
B14H20001700001,8433169735
B14H20001700001,Z2B2E1F19A
B14H20001760001,8880067F18
B14H20001760001,8877715A2B
B14H20001760001,ZDA344D373
B14H20001760001,8837835C26
B14H20001760001,Z9D379B407
B14H20001760001,90329290D3
B14H20001900001,903962240F
B14H20001900001,90110791A2
B14H20001920001,8905446E82
B14H20001920001,8905471327
B14H20001920001,89055525FE
B14H20001930001,87125439EC
B14H20001930001,9032959992
B14H20001940001,903293883E
B14H20001940001,9481433607
B14H20001940001,8714566F59
B14H20001950001,87142656F7
B14H20001950001,87142488EF
B14H20001950001,9032910125
B14H20001960001,8947423F06
B14H20001960001,9426535EC1
B14H20001960001,90987806C8
B14H20001960001,8946548CF4
B14H20001970001,88589794BD
B14H20001970001,ZA73855A5E
B14H20001970001,9472173C6D
B14H20001970001,ZE435C6BDF
B14H20001970001,Z1E32AB10B
B14H20001970001,Z4A32AB123
B14H20002110001,8905013931
B14H20002110001,891932295A
B14H20002110001,9111793972
B14H20002110001,8819690E6B
B14H20002110001,8808272001
B14H20002110001,935994247C
B14H20002120001,8430783638
B14H20002120001,84348366DC
B14H20002120001,8435443BC4
B14H20002160001,94923349D0
B14H20002160001,9031114708
B14H20002160001,9028333016
B14H20002160001,9187710225
B14H20002360001,9222962503
B14H20002360001,9255799EF3
B14H20002370001,939145275B
B14H20002370001,9223027AA5
B14H20002370001,9248333DD0
B14H20002380001,925586449A
B14H20002380001,9223076317
B14H20002410001,Z2D3354051
B14H20002410001,9324868481
B14H20002410001,ZFA33540AA
B14H20002460001,94171058E1
B14H20002460001,924331727E
B14H20002470001,Z372E46F33
B14H20002480001,Z9B2F088FB
B14H20002480001,ZA82D58E24
B14H20002480001,843530383D
B14H20002500001,88104315A9
B14H20002500001,881045162A
B14H20002500001,885200164F
B14H20002500001,8871290419
B14H20002510001,Z5E339B124
B14H20002510001,8886371156
B14H20002510001,8886303936
B14H20002510001,9014217F2D
B14H20002510001,9188951240
B14H20002520001,8731944424
B14H20002520001,950558835E
B14H20002520001,8821238BDF
B14H20002520001,Z8E3692848
B14H20002520001,88600654EF
B14H20002520001,8755106E04
B14H20002520001,8732041430
B14H20002520001,ZA3339AC35
B14H20002530001,8885171310
B14H20002530001,88850596A2
B14H20002530001,900364286B
B14H20002530001,91722078A8
B14H20002540001,8955908913
B14H20002540001,90133671C0
B14H20002540001,89553203D9
B14H20002550001,90134630F9
B14H20002550001,8955742019
B14H20002550001,8956453AD2
B14H20002560005,899237027A
B14H20002600001,9295461913
B14H20002600001,9316290DB4
B14H20002600001,Z6137DFFA1
B14H20002630001,902040300B
B14H20002630001,8957328CE4
B14H20002630001,8929910AD8
B14H20002630001,8929873C4F
B14H20002640001,9455645519
B14H20004000006,Z1D36B2DE8
B14H22000050001,93994363F7
B14H22000050001,9367095354
B14H22000060006,ZEF37D06A0
B14H22000060006,9478829125
B14H22000210006,Z8036D1D41
B14H22000210006,Z2D36CED64
B14H22000210006,Z1C36CB0EC
B14H22000210006,Z3436CCA05
B14H22000210006,ZDF36B75CE
B14H22000290001,9286538596
B14H22000320006,95218574F8
B14H22000360006,92033669E0
B14H22000360006,9366757C64
B14H22000460001,9400436D2E
B14H22000500006,Z6836CBC95
B14H22000500006,9372111EA6
B14H22000510006,93021519D6
B14H22000510006,9397567D9B
B14H22000550006,9334603614
B14H22000570006,938330978A
B14H22000570006,93506933F8
B14H22000630006,93994363F7
B14H22000640006,938527913E
B14H22000660006,9399125352
B14H22000660006,9488596D1D
B14H22000660006,ZED37BE4D9
B14H22000690006,9405511935
B14H22000700006,940092618E
B14H22000710006,9404601A40
B14H22000720006,94063383AD
B14H22000720006,Z3137BC9B5
B14J22000000001,ZEA3783CAC
B14J22000000001,92586385C7
B14J22000000001,91854465D4
B14J22000080001,Z6B3877138
B14J22000080001,95340166E4
B14J22000270001,9378213A2F
B14J22000340001,ZBB370CF9F
B14J22000340001,ZD93814AD2
B14J22000340001,Z8C3731B00
B14J22000350008,9395693325
B14J22000350008,9342773C2B
B14J22000410006,9393710EB5
B14J22000410006,94073452AE
B14J22000410006,9355998DC8
B14J22000410006,9398132FDB
B14J22000440001,Z9C37757CA
B14J22000440001,9401671857
B14J22000450001,93779809E8
B14J22000450001,9377983C61
B14J22000450001,9377981ABB
B14J22000460006,ZA6394636B
B14J22000460006,9381883EC2
B14J22000460006,ZE4378ED80
B14J22000510006,9406583DD8
B14J22000520006,9408287C08
B14J22000520006,9408095D96
B15B18000840002,9464296820
B15B20000770001,85182255A4
B15B21004440006,Z8F32AE512
B15B21004440006,889096506D
B15B22000160006,9386282CEE
B15C20000290005,8362335126
B15E21002470001,93893722E4
B15E22000010006,9470936F9E
B15E22000100006,Z68391CA9E
B15E22000130006,94831796DF
B15E22000200006,9540306D8E
B15E22000200006,95371121CC
B15E22000220006,9505443BB3
B15E22000240006,9376994C3B
B15F20002180001,8892020708
B15F21000640001,8697891EB4
B15F21000970001,8738353D01
B15F21000990001,874825151A
B15F21000990001,8853819293
B15F21000990001,8971210CAE
B15F21001000001,885448582B
B15F21001000001,874816809D
B15F21001250001,8803769BFF
B15F21001250001,8784862973
B15F21001320001,8765772FE0
B15F21001350001,ZD231EDAE3
B15F21001350001,Z0D31ED9C1
B15F21001350001,8867491510
B15F21001440001,88934177DF
B15F21001440001,Z3A32BD8D9
B15F21001440001,8895550814
B15F21001510001,ZAB32F532D
B15F21001510001,ZF231E39E4
B15F21001530001,935911385E
B15F21001530001,9378412E66
B15F21001530001,941349991D
B15F21001530001,93800630DD
B15F21001550001,940983597C
B15F21001550001,9368727618
B15F21001700001,Z502E66BF0
B15F21001700001,Z02320E648
B15F21001700001,Z6E314B71B
B15F21001780001,88414199C3
B15F21001870001,ZC732C37B8
B15F21001870001,Z16323EF4D
B15F21002030001,8861035567
B15F21002030001,8879564006
B15F21002030001,Z8132AFACA
B15F21002240005,Z4B3300929
B15F21002240005,88969836A1
B15F21002390001,ZB532DB52C
B15F21002390001,Z5632FDE0B
B15F21002390001,Z7732DEC09
B15F21002390001,8882719B99
B15F21002500001,88552195E3
B15F21002610005,8856503979
B15F21002810001,8893453595
B15F21002810001,ZB332DE899
B15F21002900001,Z9332DB5D0
B15F21002900001,8895810EA1
B15F21003020001,8895633C91
B15F21003020001,88941894F3
B15F21003040001,Z2932ED5EF
B15F21003040001,ZC432ED58D
B15F21003040001,Z9932ED5BA
B15F21003080001,8901339152
B15F21003270001,8905499A40
B15F21004200006,92996043FE
B15F21004210006,9299684602
B15F21005130003,9179245899
B15F21005300003,Z4D391E5A8
B15F21005300003,Z0335CD8D9
B15F21005300003,ZAA37A6BF0
B15F22000370006,ZF8350BEE9
B15F22000850004,932672836D
B15F22000850004,932616205A
B15F22000850004,93270068D5
B15F22000850004,9326601A9D
B15F22000880001,9296055344
B15F22000880001,9384769C5D
B15F22000880001,9326745175
B15F22000880001,9420020E68
B15F22000880001,955010759B
B15F22000880001,9419856714
B15F22000960001,938555442D
B15F22000960001,93855733DB
B15F22000970001,9385296F41
B15F22000970001,93854817EE
B15F22001240006,9368126622
B15I20000030001,8434451925
B15I20000030001,ZF82E3E5FD
B15I20000030001,Z522E3E659
B16B19000110004,Z142ED8C1B
B16B19000110004,79898096F6
B16B20000290005,ZF42F13600
B16C22000110006,94627750F7
B16C22000110006,930139277E
B16C22000110006,Z8C36E76AC
B16D20000060001,84336189BB
B16D20000140001,84359015BA
B16D20000150001,84359416BC
B16F22000000001,939183536C
B16G20000210001,8425204A47
B16G20000260001,8407920314
B16G20000260001,Z422E252FC
B16G20000260001,Z682DF4ED0
B16G20000280001,8435360747
B16G20000300005,8419500731
B16G20000300005,Z6225A36E3
B16G20000310001,ZF02E20076
B16G20000310001,8429840C06
B16G20000310001,Z812E200F0
B16G21032150001,886551673D
B16G21062360006,9144063F7C
B16G21062360006,Z1A37B345C
B16G21062360006,Z2137760CC
B16G21062360006,9376626C8C
