Codice Univoco submisura;CUP ;Tipo Tag Clima;Campo d'intervento Clima;Coefficiente TAG Clima;Tipo Tag Digitale;Campo d'intervento Digitale;Coefficiente TAG Digitale
M1C2I5.01.01;E81B21010220006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E71B21007240006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E41B21011810006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E31B21010570006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E41B21011820006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E71B21007250006;N/A;N/A;N/A;DIGITAL TAG;015 - SVILUPPO DELL'ATTIVITÀ DELLE PMI E INTERNAZIONALIZZAZIONE, COMPRESI GLI INVESTIMENTI PRODUTTIV;30
M1C2I5.01.01;E11B21010110006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E61B21008630006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E41B21011830006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E61B21008640006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E71B21007260006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E41B21011840006;N/A;N/A;N/A;DIGITAL TAG;015 - SVILUPPO DELL'ATTIVITÀ DELLE PMI E INTERNAZIONALIZZAZIONE, COMPRESI GLI INVESTIMENTI PRODUTTIV;30
M1C2I5.01.01;E71B21007270006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E71B21007280006;N/A;N/A;N/A;DIGITAL TAG;015 - SVILUPPO DELL'ATTIVITÀ DELLE PMI E INTERNAZIONALIZZAZIONE, COMPRESI GLI INVESTIMENTI PRODUTTIV;30
M1C2I5.01.01;E21B21007480006;N/A;N/A;N/A;DIGITAL TAG;015 - SVILUPPO DELL'ATTIVITÀ DELLE PMI E INTERNAZIONALIZZAZIONE, COMPRESI GLI INVESTIMENTI PRODUTTIV;30
M1C2I5.01.01;E21B21007490006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E41B21011850006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E81B21010230006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E41B21011860006;N/A;N/A;N/A;DIGITAL TAG;015 - SVILUPPO DELL'ATTIVITÀ DELLE PMI E INTERNAZIONALIZZAZIONE, COMPRESI GLI INVESTIMENTI PRODUTTIV;30
M1C2I5.01.01;E61B21008650006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E41B21011870006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E41B21011880006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E11B21010120006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E81B21010240006;N/A;N/A;N/A;DIGITAL TAG;015 - Sviluppo dell'attività delle PMI e internazionalizzazione, compresi gli investimenti produttiv;30
M1C2I5.01.01;E81B21010250006;N/A;N/A;N/A;DIGITAL TAG;015 - SVILUPPO DELL'ATTIVITÀ DELLE PMI E INTERNAZIONALIZZAZIONE, COMPRESI GLI INVESTIMENTI PRODUTTIV;30
